ID;Recipe;Page;Season;Favorite;Cooked;Book;Kitchen;Diet;Cover;Keywords;score
1545;Lammfleisch mit Zwiebeln und Kreuzkümmel;45;;;;Chen - Geschmack von Zuhause;;;;;0
1546;Gedämpfter Wolfsbarsch;50;;;;Chen - Geschmack von Zuhause;;;;;0
1547;Gebratener Tintenfisch;54;;;;Chen - Geschmack von Zuhause;;;;;0
1548;Typhoon Shelter Garnelen;59;;;;Chen - Geschmack von Zuhause;;;;;0
1549;Riesengarnelen süß-sauer;62;;;;Chen - Geschmack von Zuhause;;;;;0
1550;Garnelen in klarer Soße;64;;;;Chen - Geschmack von Zuhause;;;;;0
1551;Blattsalat mit gegrillter Ananas;110;;;;GU - Vegetarisch für Faule;;;;;0
1552;Möhren-Ananas-Curry;91;;;;GU - Vegetarisch für Faule;;;;;0
1553;Thaigemüse süß-sauer;88;;;;GU - Vegetarisch für Faule;;;;;0
1554;Avocado-Apfel-Wraps;20;;;;GU - Vegetarisch für Faule;;;;;0
1555;Sauerkraut-Lauch-Gemüse;45;;;;GU - Vegetarisch für Faule;;;;;0
1556;Aprikosencrumble;128;;;;GU - Vegetarisch für Faule;;;;;0
1557;Linsen-Dal mit Aprikosen;94;;;;GU - Vegetarisch für Faule;;;;;0
1558;Avocado-Baguette;17;;;;GU - Vegetarisch für Faule;;;;;0
1559;Polentaschnitten mit Pilzen;106;;;;GU - Vegetarisch für Faule;;;;;0
1560;Asia-Spaghetti;84;;;;GU - Vegetarisch für Faule;;;;;0
1561;Ratatouille-Gemüse;109;;;;GU - Vegetarisch für Faule;;;;;0
1562;Pizza vegetale;60;;;;GU - Vegetarisch für Faule;;;;;0
1563;Austernpilze mit Kräuteröl;108;;;;GU - Vegetarisch für Faule;;;;;0
1564;Avocado-Kichererbsen-Dip;52;;;;GU - Vegetarisch für Faule;;;;;0
1565;Gebratener Romanasalat;22;;;;GU - Vegetarisch für Faule;;;;;0
1566;Tomaten-Crostini;16;;;;GU - Vegetarisch für Faule;;;;;0
1567;Banane: Fruchtquark mit Bananen;122;;;;GU - Vegetarisch für Faule;;;;;0
1568;Beeren-Joghurt-Eis mit Schokolade;120;;;;GU - Vegetarisch für Faule;;;;;0
1569;Birne: Lauch-Birnen-Tarte;48;;;;GU - Vegetarisch für Faule;;;;;0
1570;Blaubeer-Flaugnarde;122;;;;GU - Vegetarisch für Faule;;;;;0
1571;Gratinierte Polenta;74;;;;GU - Vegetarisch für Faule;;;;;0
1572;Sauerkraut-Auflauf mit Räucher-tofu;40;;;;GU - Vegetarisch für Faule;;;;;0
1573;Spinat-Käse-Dip;53;;;;GU - Vegetarisch für Faule;;;;;0
1574;Bourbon-Vanillezucker;116;;;;GU - Vegetarisch für Faule;;;;;0
1575;Bratlinge;42;;;;GU - Vegetarisch für Faule;;;;;0
1576;Brie-Kräcker;16;;;;GU - Vegetarisch für Faule;;;;;0
1577;Bunter Nudelsalat;28;;;;GU - Vegetarisch für Faule;;;;;0
1578;Kokossuppe mit Süß-kartoffeln;80;;;;GU - Vegetarisch für Faule;;;;;0
1579;Pilz-Mascarpone-Sauce;68;;;;GU - Vegetarisch für Faule;;;;;0
1580;Spätzlepfanne mit Rosenkohl;46;;;;GU - Vegetarisch für Faule;;;;;0
1581;Tagliatelle con verdure;65;;;;GU - Vegetarisch für Faule;;;;;0
1582;Couscoussalat;26;;;;GU - Vegetarisch für Faule;;;;;0
1583;Kartoffel-Kichererbsen-Curry;91;;;;GU - Vegetarisch für Faule;;;;;0
1584;Rucola-Ziegenkäse-Wraps;21;;;;GU - Vegetarisch für Faule;;;;;0
1585;Cremesüppchen;30;;;;GU - Vegetarisch für Faule;;;;;0
1586;Crumble mit Aprikosen;128;;;;GU - Vegetarisch für Faule;;;;;0
1587;Currys;90;;;;GU - Vegetarisch für Faule;;;;;0
1588;Currysauce;103;;;;GU - Vegetarisch für Faule;;;;;0
1589;Gebratener Eierreis;89;;;;GU - Vegetarisch für Faule;;;;;0
1590;Grießpudding;118;;;;GU - Vegetarisch für Faule;;;;;0
1591;Grießsoufflé mit Pfirsichen;126;;;;GU - Vegetarisch für Faule;;;;;0
1592;Grüne Sauce;52;;;;GU - Vegetarisch für Faule;;;;;0
1593;Hafer-Mais-Taler;43;;;;GU - Vegetarisch für Faule;;;;;0
1594;Herrencreme;119;;;;GU - Vegetarisch für Faule;;;;;0
1595;Lauch-Birnen-Tarte;48;;;;GU - Vegetarisch für Faule;;;;;0
1596;Mandel-Marzipan-Brownies;130;;;;GU - Vegetarisch für Faule;;;;;0
1597;Mini-Käsekuchen;129;;;;GU - Vegetarisch für Faule;;;;;0
1598;Quarkpflänzchen;42;;;;GU - Vegetarisch für Faule;;;;;0
1599;Topfenschmarren;123;;;;GU - Vegetarisch für Faule;;;;;0
1600;Zucchinipuffer;42;;;;GU - Vegetarisch für Faule;;;;;0
1601;Erbsen-Pulao mit Orangen-butter;92;;;;GU - Vegetarisch für Faule;;;;;0
1602;Sellerie-Erbsen-Püree;44;;;;GU - Vegetarisch für Faule;;;;;0
1603;Rucolasalat;25;;;;GU - Vegetarisch für Faule;;;;;0
1604;Ziegenfrischkäsecreme mit Erdbeeren;129;;;;GU - Vegetarisch für Faule;;;;;0
1605;Thai-Reisnudelsalat;86;;;;GU - Vegetarisch für Faule;;;;;0
1606;Feta-Käse;98;;;;GU - Vegetarisch für Faule;;;;;0
1607;Feta mit Spinat;108;;;;GU - Vegetarisch für Faule;;;;;0
1608;Feta-Tomaten-Wraps;20;;;;GU - Vegetarisch für Faule;;;;;0
1609;Gurkencocktail;24;;;;GU - Vegetarisch für Faule;;;;;0
1610;Fladenbrote: Halloumi-Fladen-brote;18;;;;GU - Vegetarisch für Faule;;;;;0
1611;Flaugnarde;122;;;;GU - Vegetarisch für Faule;;;;;0
1612;Gurken-Taler;17;;;;GU - Vegetarisch für Faule;;;;;0
1613;Tomaten-Orangen-Sauce;68;;;;GU - Vegetarisch für Faule;;;;;0
1614;Fruchtquark mit Bananen;122;;;;GU - Vegetarisch für Faule;;;;;0
1615;Möhren-Tomaten-Gemüse;45;;;;GU - Vegetarisch für Faule;;;;;0
1616;Risotto mit Zucchini und Walnüssen;58;;;;GU - Vegetarisch für Faule;;;;;0
1617;Rote-Bete-Salat;25;;;;GU - Vegetarisch für Faule;;;;;0
1618;Tomatensalat;24;;;;GU - Vegetarisch für Faule;;;;;0
1619;Vietnam-Nudelsuppe mit Tofu;82;;;;GU - Vegetarisch für Faule;;;;;0
1620;Weizen-Gemüse-Pfanne;50;;;;GU - Vegetarisch für Faule;;;;;0
1621;Gefüllter Tofu;104;;;;GU - Vegetarisch für Faule;;;;;0
1622;Gemüse mit Erdnusssauce;88;;;;GU - Vegetarisch für Faule;;;;;0
1623;Gemüseeintopf mit Croûtons;38;;;;GU - Vegetarisch für Faule;;;;;0
1624;Gemüsepüree und -ragouts;44;;;;GU - Vegetarisch für Faule;;;;;0
1625;Gnocchi mit Rucolabutter;62;;;;GU - Vegetarisch für Faule;;;;;0
1626;Grillsaucen;102;;;;GU - Vegetarisch für Faule;;;;;0
1627;Grillspezialitäten;108;;;;GU - Vegetarisch für Faule;;;;;0
1628;Halloumi-Burger;100;;;;GU - Vegetarisch für Faule;;;;;0
1629;Halloumi-Fladenbrote;18;;;;GU - Vegetarisch für Faule;;;;;0
1630;Himbeeren: Vanilleeis mit heißen Himbeeren;128;;;;GU - Vegetarisch für Faule;;;;;0
1631;Himbeer-Schoko-Törtchen;124;;;;GU - Vegetarisch für Faule;;;;;0
1632;Honig-Senf-Sauce;102;;;;GU - Vegetarisch für Faule;;;;;0
1633;Kartoffel-Käse-Püree;44;;;;GU - Vegetarisch für Faule;;;;;0
1634;Kartoffelsuppe;31;;;;GU - Vegetarisch für Faule;;;;;0
1635;Ofenkartoffeln;52;;;;GU - Vegetarisch für Faule;;;;;0
1636;Käsekuchen;129;;;;GU - Vegetarisch für Faule;;;;;0
1637;Käsespätzle mit Spinat;36;;;;GU - Vegetarisch für Faule;;;;;0
1638;Safran-Kichererbsen-Sauce;69;;;;GU - Vegetarisch für Faule;;;;;0
1639;Spinat-Kichererbsen-Wraps;21;;;;GU - Vegetarisch für Faule;;;;;0
1640;Knoblauch;99;;;;GU - Vegetarisch für Faule;;;;;0
1641;Knoblauchdip & Krautsalat;53;;;;GU - Vegetarisch für Faule;;;;;0
1642;Kürbissuppe;30;;;;GU - Vegetarisch für Faule;;;;;0
1643;Süßkartoffel-Spinat-Curry;90;;;;GU - Vegetarisch für Faule;;;;;0
1644;Kokossuppe mit Süßkartoffeln;80;;;;GU - Vegetarisch für Faule;;;;;0
1645;Krautsalat & Knoblauchdip;53;;;;GU - Vegetarisch für Faule;;;;;0
1646;Lauch;34;;;;GU - Vegetarisch für Faule;;;;;0
1647;Safran-Polenta mit Tomaten-Lauch-Gemüse;72;;;;GU - Vegetarisch für Faule;;;;;0
1648;Teigschnecken mit Lauch und Nüssen;113;;;;GU - Vegetarisch für Faule;;;;;0
1649;Linsenbratlinge;43;;;;GU - Vegetarisch für Faule;;;;;0
1650;Maiscreme mit Dill-Öl;30;;;;GU - Vegetarisch für Faule;;;;;0
1651;Mango: Panna cotta mit Mango;118;;;;GU - Vegetarisch für Faule;;;;;0
1652;Mascarpone-Wein-Creme;119;;;;GU - Vegetarisch für Faule;;;;;0
1653;Tortellini-Gemüse-Eintopf;70;;;;GU - Vegetarisch für Faule;;;;;0
1654;Tortellinigratin;66;;;;GU - Vegetarisch für Faule;;;;;0
1655;Nudelgerichte;64;;;;GU - Vegetarisch für Faule;;;;;0
1656;Nudelsalat;28;;;TRUE;GU - Vegetarisch für Faule;;;;;0
1657;Nudelsaucen;68;;;;GU - Vegetarisch für Faule;;;;;0
1658;Teigschnecken mit Oliven;113;;;;GU - Vegetarisch für Faule;;;;;0
1659;Teigschnecken Pizza-Style;112;;;;GU - Vegetarisch für Faule;;;;;0
1660;Panna cotta mit Mango;118;;;;GU - Vegetarisch für Faule;;;;;0
1661;Wokgemüse mit Erdnusssauce;88;;;;GU - Vegetarisch für Faule;;;;;0
1662;Pasta;56;;;;GU - Vegetarisch für Faule;;;;;0
1663;Pastagerichte;64;;;;GU - Vegetarisch für Faule;;;;;0
1664;Pastasaucen;68;;;;GU - Vegetarisch für Faule;;;;;0
1665;Penne mit grünem Spargel;64;;;;GU - Vegetarisch für Faule;;;;;0
1666;Pesto diavolo;69;;;;GU - Vegetarisch für Faule;;;;;0
1667;Pfirsich mit Honig-Ziegen-käse;109;;;;GU - Vegetarisch für Faule;;;;;0
1668;Tofu-Spitzkohl-Pfanne;89;;;;GU - Vegetarisch für Faule;;;;;0
1669;Vietnam-Nudelsuppe mit Tofu;82;;;;GU - Vegetarisch für Faule;;;;;0
1670;Teigschnecken mit Bärlauch-pesto;112;;;;GU - Vegetarisch für Faule;;;;;0
1671;Teigschnecken mit Lauch und Nüssen;113;;;;GU - Vegetarisch für Faule;;;;;0
1672;Pürees;44;;;;GU - Vegetarisch für Faule;;;;;0
1673;Quarkcreme mit Wald-beeren;123;;;;GU - Vegetarisch für Faule;;;;;0
1674;Ravioli mit Nussbutter;64;;;;GU - Vegetarisch für Faule;;;;;0
1675;Rote-Bete-Creme;31;;;;GU - Vegetarisch für Faule;;;;;0
1676;Safran-Polenta mit Tomaten-Lauch-Gemüse;72;;;;GU - Vegetarisch für Faule;;;;;0
1677;Sauerkraut;35;;;;GU - Vegetarisch für Faule;;;;;0
1678;Scharfe Tomatensauce;102;;;;GU - Vegetarisch für Faule;;;;;0
1679;Spaghetti mit Zitronen-Spinat;65;;;;GU - Vegetarisch für Faule;;;;;0
1680;Spargel-Curry;90;;;;GU - Vegetarisch für Faule;;;;;0
1681;Spätzle;35;;;;GU - Vegetarisch für Faule;;;;;0
1682;Streusel für süße Desserts;129;;;;GU - Vegetarisch für Faule;;;;;0
1683;Teigschnecken mit Bärlauchpesto;112;;;;GU - Vegetarisch für Faule;;;;;0
1684;Sauerkraut-Auflauf mit Räuchertofu;40;;;;GU - Vegetarisch für Faule;;;;;0
1685;Kokossuppe mit Süßkartof-feln;80;;;;GU - Vegetarisch für Faule;;;;;0
1686;Tortillas;15;;;;GU - Vegetarisch für Faule;;;;;0
1687;Vanilleeis mit heißen Himbeeren;128;;;;GU - Vegetarisch für Faule;;;;;0
1688;Wokgerichte;88;;;;GU - Vegetarisch für Faule;;;;;0
1689;Wraps;20;;;;GU - Vegetarisch für Faule;;;;;0
1690;Zitrone;98;;;;GU - Vegetarisch für Faule;;;;;0
1691;Zitronen-Aioli;103;;;;GU - Vegetarisch für Faule;;;;;0
1692;Amaranth-Joghurt-Pop mit Himbeeren und gerösteten Kokosflocken;43;;;;Hildmann - Vegan for Starters;;;;;0
1693;Apfel-Kirsch-Mus;116;;;;Hildmann - Vegan for Starters;;;;;0
1694;Attilas Hummus;38, 100;;;;Hildmann - Vegan for Starters;;;;;0
1695;Attilas Spaghetti Tofubolognese;58;;;;Hildmann - Vegan for Starters;;;;;0
1696;"Auberginentanker „Italian Sun""";38,72;;;;Hildmann - Vegan for Starters;;;;;0
1697;Erbsen-Minze-Aufstrich;55;;;;Hildmann - Vegan for Starters;;;;;0
1698;Guacamole;68, 69, 100;;;;Hildmann - Vegan for Starters;;;;;0
1699;Hummus;38, 100, 104;;;;Hildmann - Vegan for Starters;;;;;0
1700;Kichererbsen-Tomaten-Aufstrich;55;;;;Hildmann - Vegan for Starters;;;;;0
1701;"Nuss-Nugat-Aufstrich „Berlin Dream""";51;;;;Hildmann - Vegan for Starters;;;;;0
1702;Sonnenblumenkern-Kresse-Aufstrich;55;;;;Hildmann - Vegan for Starters;;;;;0
1703;Avocadojoghurt;82;;;;Hildmann - Vegan for Starters;;;;;0
1704;"Baguette „Relax"" mit Hummus, gebratener Aubergine und Pesto";104;;;;Hildmann - Vegan for Starters;;;;;0
1705;Basilikum-Ketchup;81;;;;Hildmann - Vegan for Starters;;;;;0
1706;Beeren-Müsli;47;;;;Hildmann - Vegan for Starters;;;;;0
1707;Best Müsliriegel in Town;110;;;;Hildmann - Vegan for Starters;;;;;0
1708;Blumenkohl-Curry-Crunch;38,63;;;;Hildmann - Vegan for Starters;;;;;0
1709;Bolognese, Tofu-;58;;;;Hildmann - Vegan for Starters;;;;;0
1710;Bratkartoffeln, rote;78;;;;Hildmann - Vegan for Starters;;;;;0
1711;Burger;68,69;;;;Hildmann - Vegan for Starters;;;;;0
1712;Caesar Salad mit Cashew-dressing und Oregano-Croûtons;95;;;;Hildmann - Vegan for Starters;;;;;0
1713;Vegane Carbonara;65;;;;Hildmann - Vegan for Starters;;;;;0
1714;Cashewcreme;86;;;;Hildmann - Vegan for Starters;;;;;0
1715;Cashew-Dressing;95;;;;Hildmann - Vegan for Starters;;;;;0
1716;Cashew-Parmesan;95;;;;Hildmann - Vegan for Starters;;;;;0
1717;Cashew-Petersilien-Creme;60;;;;Hildmann - Vegan for Starters;;;;;0
1718;Cashew-Senf-Dip;84;;;;Hildmann - Vegan for Starters;;;;;0
1719;Champignon-Baguette;71;;;;Hildmann - Vegan for Starters;;;;;0
1720;mit Avocado-Joghurt-Topping;82;;;;Hildmann - Vegan for Starters;;;;;0
1721;Cookies;115;;;;Hildmann - Vegan for Starters;;;;;0
1722;Cranberry-Kokos-Curry-Sonnenblumenkerne;97;;;;Hildmann - Vegan for Starters;;;;;0
1723;"„Dimi de luxe""";118;;;;Hildmann - Vegan for Starters;;;;;0
1724;Erbsen-Joghurt-Dip;81;;;;Hildmann - Vegan for Starters;;;;;0
1725;Mayonnaise;103;;;;Hildmann - Vegan for Starters;;;;;0
1726;Paprikadip;75;;;;Hildmann - Vegan for Starters;;;;;0
1727;Döner;76;;;;Hildmann - Vegan for Starters;;;;;0
1728;Senfdressing;98;;;;Hildmann - Vegan for Starters;;;;;0
1729;Fiersalat-Brote;38, 103;;;;Hildmann - Vegan for Starters;;;;;0
1730;Eis;44;;;;Hildmann - Vegan for Starters;;;;;0
1731;Erdnuss-Schoko-Müsli;46, 47;;;;Hildmann - Vegan for Starters;;;;;0
1732;Flammkuchen mit Cashewcreme, Tofu und roten Zwiebeln;86;;;;Hildmann - Vegan for Starters;;;;;0
1733;Flammkuchen, schneller, mit Cashewereme, Tofu und roten Zwiebeln;86;;;;Hildmann - Vegan for Starters;;;;;0
1734;Frühstücksbrot mit Avocado-Apfel-Topping;53;;;;Hildmann - Vegan for Starters;;;;;0
1735;Gemüse-Kokos-Curry mit Basmatireis;88;;;;Hildmann - Vegan for Starters;;;;;0
1736;Gemüselasagne mit Tomatensauce und Mandelcreme;66;;;;Hildmann - Vegan for Starters;;;;;0
1737;Grüne Sonne;122;;;;Hildmann - Vegan for Starters;;;;;0
1738;Hafer-Survival-Balls;122;;;;Hildmann - Vegan for Starters;;;;;0
1739;Himbeer-Joghurt-Bis;44;;;;Hildmann - Vegan for Starters;;;;;0
1740;Kartoffelpuffer mit Apfel-Kirsch-Mus;116;;;;Hildmann - Vegan for Starters;;;;;0
1741;Kartoffelpuffer, rote und grüne, mit Paprikadip;75;;;;Hildmann - Vegan for Starters;;;;;0
1742;Kartoffelsalat mit Räuchertofu, Kirschtomaten und Senfdres-sing;98;;;;Hildmann - Vegan for Starters;;;;;0
1743;Ketchup;81;;;;Hildmann - Vegan for Starters;;;;;0
1744;Kürbispommes mit;2 Dips 80;;;;Hildmann - Vegan for Starters;;;;;0
1745;Kürbissalat to go;92;;;;Hildmann - Vegan for Starters;;;;;0
1746;Macadamia Chocolate Chip Cookies;115;;;;Hildmann - Vegan for Starters;;;;;0
1747;Mandelcreme;66, 72;;;;Hildmann - Vegan for Starters;;;;;0
1748;Matcha-Banane-Schoko-Shake;106;;;;Hildmann - Vegan for Starters;;;;;0
1749;Matcharinha;106;;;;Hildmann - Vegan for Starters;;;;;0
1750;Matcha-Vanille-Mandelmilch;106;;;;Hildmann - Vegan for Starters;;;;;0
1751;Mini-Crunch-Pancakes mit Himbeer-Joghurt-Bis;44;;;;Hildmann - Vegan for Starters;;;;;0
1752;Moussaka Reloaded mit Tofuhack und Cashew-Petersilien-Creme;60;;;;Hildmann - Vegan for Starters;;;;;0
1753;Mousse black 'n' white mit Erdbeeren;112;;;;Hildmann - Vegan for Starters;;;;;0
1754;Cranberry-Kokos-Ananas-Müsli;47;;;;Hildmann - Vegan for Starters;;;;;0
1755;Erdnuss-Schoko-Müsli;46,47;;;;Hildmann - Vegan for Starters;;;;;0
1756;Müsliriegel;110;;;;Hildmann - Vegan for Starters;;;;;0
1757;Oregano-Croûtons;95;;;;Hildmann - Vegan for Starters;;;;;0
1758;Pancakes mit Himbeer-Joghurt-Bis;44;;;;Hildmann - Vegan for Starters;;;;;0
1759;Parmesan, Cashew-;95;;;;Hildmann - Vegan for Starters;;;;;0
1760;Attilas Spaghetti mit Tofubolognese;58;;;;Hildmann - Vegan for Starters;;;;;0
1761;Pasta Carbonara;65;;;;Hildmann - Vegan for Starters;;;;;0
1762;Pesto;104;;;;Hildmann - Vegan for Starters;;;;;0
1763;"Pistazientrüffeln „Grüne Sonne""";122;;;;Hildmann - Vegan for Starters;;;;;0
1764;Powerkugeln;122;;;;Hildmann - Vegan for Starters;;;;;0
1765;Quinoa-Salat to go;97;;;;Hildmann - Vegan for Starters;;;;;0
1766;Reis-Schoko-Vierecke;120;;;;Hildmann - Vegan for Starters;;;;;0
1767;Blumenkohl-Curry-Crunch;38, 63;;;;Hildmann - Vegan for Starters;;;;;0
1768;Chili mit Avocado-Joghurt-Topping;82;;;;Hildmann - Vegan for Starters;;;;;0
1769;Rote Bratkartoffeln;78;;;;Hildmann - Vegan for Starters;;;;;0
1770;Rote und grüne Kartoffelpuffer mit Paprikadip;75;;;;Hildmann - Vegan for Starters;;;;;0
1771;Saftige Seitanbuletten mit Cashew-Senf-Dip;84;;;;Hildmann - Vegan for Starters;;;;;0
1772;Schneller Flammkuchen mit Cashewcreme, Tofu und roten Zwiebeln;86;;;;Hildmann - Vegan for Starters;;;;;0
1773;Tex-mex-Burger mit Guacamole und Salsa;69;;;;Hildmann - Vegan for Starters;;;;;0
1774;Bratkartoffeln;78;;;;Hildmann - Vegan for Starters;;;;;0
1775;Rührei, Tofu-;48;;;;Hildmann - Vegan for Starters;;;;;0
1776;Eiersalat-Brote;38, 103;;;;Hildmann - Vegan for Starters;;;;;0
1777;Kartoffelsalat mit Räuchertofu, Kirschtomaten und Senf-dressing;98;;;;Hildmann - Vegan for Starters;;;;;0
1778;Salsa;68,69;;;;Hildmann - Vegan for Starters;;;;;0
1779;Samurai-Shakes;106;;;;Hildmann - Vegan for Starters;;;;;0
1780;Tomatensauce;66;;;;Hildmann - Vegan for Starters;;;;;0
1781;"Schokotorte „Dimi de luxe""";118;;;;Hildmann - Vegan for Starters;;;;;0
1782;Seitanbuletten, saftige, mit Casnew-Senf-Dip;84;;;;Hildmann - Vegan for Starters;;;;;0
1783;Caesar Salad mit Cashew-dres-sing und Oregano-Croûtons;95;;;;Hildmann - Vegan for Starters;;;;;0
1784;Kartoffelsalat mit Räuchertofu, Kirschtomaten und Senfdressing;98;;;;Hildmann - Vegan for Starters;;;;;0
1785;Amaranth-Joghurt-Pop mit Himbeeren und gerösteten Kokos focken;43;;;;Hildmann - Vegan for Starters;;;;;0
1786;Mini-Crunch-Pancakes mit Himbeer-Joghurt-Eis;44;;;;Hildmann - Vegan for Starters;;;;;0
1787;Tofu-Rührei;48;;;;Hildmann - Vegan for Starters;;;;;0
1788;Mousse black'n' white mit Erdbeeren;112;;;;Hildmann - Vegan for Starters;;;;;0
1789;Tofuhack;60;;;;Hildmann - Vegan for Starters;;;;;0
1790;Apfel-Marzipan-Strudel;128;;;;Kintrup - Vegan für Faule;;;;;0
1791;Herbstlicher Linsensalat;41;;;;Kintrup - Vegan für Faule;;;;;0
1792;Kartoffel-Linsen-Stampf;45;;;;Kintrup - Vegan für Faule;;;;;0
1793;Aprikosen-Kokos-Lassi;120;;;;Kintrup - Vegan für Faule;;;;;0
1794;Artischockenherzen: Avocado-Bohnen Salat;64;;;;Kintrup - Vegan für Faule;;;;;0
1795;Auberginenröllchen;66;;;;Kintrup - Vegan für Faule;;;;;0
1796;Kürbis-Baba-Ganoush;24;;;;Kintrup - Vegan für Faule;;;;;0
1797;Austerpilze: Gegrillte Austern-pilze;107;;;;Kintrup - Vegan für Faule;;;;;0
1798;Avocado-Bohnen-Salat;64;;;;Kintrup - Vegan für Faule;;;;;0
1799;Avocado-Cashew-Creme;25;;;;Kintrup - Vegan für Faule;;;;;0
1800;Avocado-Erdbeer-Salsa;109;;;;Kintrup - Vegan für Faule;;;;;0
1801;Morgenwraps mit Sesamcreme;32;;;;Kintrup - Vegan für Faule;;;;;0
1802;Green-Power-Smoothie;16;;;;Kintrup - Vegan für Faule;;;;;0
1803;Hafer-Nuss-Shake;21;;;;Kintrup - Vegan für Faule;;;;;0
1804;Mandel-Bananen-Joghurt;121;;;;Kintrup - Vegan für Faule;;;;;0
1805;Mandel-Pancakes;28;;;;Kintrup - Vegan für Faule;;;;;0
1806;Mandel-Schoko-Fondue;124;;;;Kintrup - Vegan für Faule;;;;;0
1807;Bayrische Tofusemmel;30;;;;Kintrup - Vegan für Faule;;;;;0
1808;Bayrischer Kartoffelkäs;45;;;;Kintrup - Vegan für Faule;;;;;0
1809;Birnen-Preiselbeer-Crumble;130;;;;Kintrup - Vegan für Faule;;;;;0
1810;Bunter Sommersalat;40;;;;Kintrup - Vegan für Faule;;;;;0
1811;Woknudeln mit Pflaumen-sauce;96;;;;Kintrup - Vegan für Faule;;;;;0
1812;Blitz-Herrencreme;120;;;;Kintrup - Vegan für Faule;;;;;0
1813;Bohnen-Mais-Patties;106;;;;Kintrup - Vegan für Faule;;;;;0
1814;Bohnensuppe mit Garten-kräuter-Pesto;48;;;;Kintrup - Vegan für Faule;;;;;0
1815;Warmer Kartoffelsalat mit Bohnen;44;;;;Kintrup - Vegan für Faule;;;;;0
1816;No-Knead-Bread;22;;;;Kintrup - Vegan für Faule;;;;;0
1817;No-Knead-Ciabatta;62;;;;Kintrup - Vegan für Faule;;;;;0
1818;Herzhaftes Tatar;25;;;;Kintrup - Vegan für Faule;;;;;0
1819;Linsentomaten;24;;;;Kintrup - Vegan für Faule;;;;;0
1820;Buntes Brokkoligemüse;71;;;;Kintrup - Vegan für Faule;;;;;0
1821;Gegrillte Austernpilze;107;;;;Kintrup - Vegan für Faule;;;;;0
1822;Kartoffel-Mandel-Patties;106;;;;Kintrup - Vegan für Faule;;;;;0
1823;Süßkartoffelscheiben;107;;;;Kintrup - Vegan für Faule;;;;;0
1824;Carpaccio: Rote-Bete-Carpaccio;38;;;;Kintrup - Vegan für Faule;;;;;0
1825;Petersilienpesto;70;;;;Kintrup - Vegan für Faule;;;;;0
1826;Safranreis mit Linsen;92;;;;Kintrup - Vegan für Faule;;;;;0
1827;Spinat-Kartoffel-Auflauf;46;;;;Kintrup - Vegan für Faule;;;;;0
1828;Chai-Bircher-to-go;20;;;;Kintrup - Vegan für Faule;;;;;0
1829;Himbeer-Gazpacho-Shots;60;;;;Kintrup - Vegan für Faule;;;;;0
1830;Kichererbsen-Arrabiata;70;;;;Kintrup - Vegan für Faule;;;;;0
1831;Mango-Barbecue-Sauce;108;;;;Kintrup - Vegan für Faule;;;;;0
1832;Melonencrostini;66;;;;Kintrup - Vegan für Faule;;;;;0
1833;Scharfe Wurstspieße;102;;;;Kintrup - Vegan für Faule;;;;;0
1834;Ciabatta: No-Knead-Ciabatta;62;;;;Kintrup - Vegan für Faule;;;;;0
1835;Couscous: Gefüllte Paprika mit Couscous;90;;;;Kintrup - Vegan für Faule;;;;;0
1836;Linsendal mit Tofu;93;;;;Kintrup - Vegan für Faule;;;;;0
1837;Polenta mit Pilzgemüse;72;;;;Kintrup - Vegan für Faule;;;;;0
1838;Crostini: Melonencrostini;66;;;;Kintrup - Vegan für Faule;;;;;0
1839;Crumble: Birnen-Preiselbeer-Crumble;130;;;;Kintrup - Vegan für Faule;;;;;0
1840;Currypasten;80;;;;Kintrup - Vegan für Faule;;;;;0
1841;Rotes Kokos-Gemüse-Curry;94;;;;Kintrup - Vegan für Faule;;;;;0
1842;Tomaten-Erdnuss-Suppe;87;;;;Kintrup - Vegan für Faule;;;;;0
1843;Dill: Erbsenreis mit Dill;92;;;;Kintrup - Vegan für Faule;;;;;0
1844;Erdnusssauce;108;;;;Kintrup - Vegan für Faule;;;;;0
1845;Schnittlauchdip;109;;;;Kintrup - Vegan für Faule;;;;;0
1846;Djuvec-Reistopf;76;;;;Kintrup - Vegan für Faule;;;;;0
1847;Erbsenreis mit Dill;92;;;;Kintrup - Vegan für Faule;;;;;0
1848;Erdbeeren: Avocado-Erdbeer-Salsa;109;;;;Kintrup - Vegan für Faule;;;;;0
1849;Geröstetes Asia-Müsli;18;;;;Kintrup - Vegan für Faule;;;;;0
1850;Schoko-Erdnuss-Creme;26;;;;Kintrup - Vegan für Faule;;;;;0
1851;Erdnussmus;14;;;;Kintrup - Vegan für Faule;;;;;0
1852;Hirse-Hafer-Porridge;21;;;;Kintrup - Vegan für Faule;;;;;0
1853;Joghuccino-Müsli;20;;;;Kintrup - Vegan für Faule;;;;;0
1854;Gazpacho: Himbeer-Gazpacho-Shots;60;;;;Kintrup - Vegan für Faule;;;;;0
1855;Gefüllte Grilltomaten;110;;;;Kintrup - Vegan für Faule;;;;;0
1856;Gefüllte Paprika mit Couscous;90;;;;Kintrup - Vegan für Faule;;;;;0
1857;Gemüseeintopf mit Graupen;49;;;;Kintrup - Vegan für Faule;;;;;0
1858;Graupen: Gemüseeintopf mit Graupen;49;;;;Kintrup - Vegan für Faule;;;;;0
1859;Grießbrei mit Beeren;118;;;;Kintrup - Vegan für Faule;;;;;0
